2752,,
General,0.0.3,Damage Scaling will no longer affect Online Matches.
Elliana,1.4.9,Utilt changed to a 2-part attack (like Etalus Uair).
Elliana,1.4.9,"Utilt will now release all heat when firing the opponent. The move’s KB scaling scales from .6 to 1.1 based on how much heat was released. When overheated, it will always count as full heat. Hold the dodge button to not lose any heat."
Elliana,1.4.9,Utilt total damage: 7 > 12.
Elliana,1.4.9,"Nair damage: 5, 6 > 6, 8."
Elliana,1.4.9,"Bair damage: 5, 8 > 7, 11."
Elliana,1.4.9,"Nspecial will now only get buffed if the fist itself hits the mine, not if only the explosion does (this was to fix a bug where shooting the mine with the fist would cause the explosion to only be buffed on its 2nd active frame)."
Elliana,1.4.9,Dspecial’s mine can no longer break Kragg’s pillar.
Elliana,1.4.9,Dying will no longer destroy mines that are currently exploding.
Elliana,1.4.9,Enemies will now be hit at the same frequency whether stuck in one or multiple steam clouds.
Elliana,1.4.9,Steam clouds now ignore players during the first 8 frames of hitstun.
Elliana,1.4.9,Steam clouds no longer produce a small explosion effect when hit (Shovel Knight can no longer bounce off steam clouds with Dair by clanking with the hitboxes either).
Elliana,1.4.9,Parried steam cloud will now be outlined with the color of the player who parried them.
Elliana,1.4.9,Elliana Uspecial landing windows is no longer immune to pratfall after a pillar breaks under them.
Elliana,1.4.11,Up Tilt maximum knockback (based on heat) increased. Old range was 7+0.6 – 7+1.1. New range is 7+0.6 – 9+0.9.
Elliana,1.4.11,Steam now fades away instead of instantly disappearing.
Elliana,1.4.11,"Uncharged Forward Special pillar destruction radius decreased fromn 64 > 32. This was adjusted because when Elliana’s projectiles are destroyed near a pillar, they destroy the pillar, since they don’t actually have an explosion hitbox."
Elliana,1.4.11,Charged Forward Special will no longer get “stuck” on the ground when hitting it at specific angles.
Elliana,1.4.12,Nspecial’s fist can no longer be broken by projectiles that deal less than 8%.
Elliana,1.4.12,"When landing after Uspecial, Elliana will have 99% heat that quickly drains over 8 frames."
Elliana,1.4.12 - Hotfix,Dspecial will no longer crash the game when landing on the corner of the stage
Elliana,1.4.13,Dspecial can no longer be detonated by Fspecial or Nspecial while they are caught in Ori’s Bash (prevents the situation where bashing Fspecial or Nspecial while stuck would allow Elliana to use Uspecial to instantly detonate the mine).
Elliana,1.4.13,The mine spawned by Dspecial is now hittable while the hitbox is active. Hitting it will cause it to fly away from the attacker with speed relative to the base knockback of the attack. Mines cannot attach to the last person to hit them.
Elliana,1.4.13,Crouch animation altered to match the hurtbox better (Dtilt slightly changed as well).
Elliana,1.4.13,Utilt claw hitbox shrunk slightly vertically.
Elliana,1.4.13,Utilt pre-launch frames increased from 18 > 24.
Elliana,1.4.13,"Utilt hit lockout decreased from 30 > 20. Utilt only has 10 frames of endlag, so previously there were 20 frames where Elliana was actionable but could not hit the opponent."
Elliana,1.4.13,Parrying a single steam cloud for the first time now changes the ownership of ALL related steam clouds.
Elliana,1.4.13,Max-charge strong attack heat loss value: 900 > 600 (for reference no-charge releases 150 heat).
Elliana,1.4.13,Bug re-fix: Fspecial can no longer cause the purple kill effect while the enemy is stuck.
Elliana,1.4.13,Uspecial will now properly go into pratfall when a pillar breaks under it.
Elliana,1.4.13,Uspecial hitbox size: 180 > 130 (also centered better with animation).
Elliana,1.4.13,Parrying Uspecial after Elliana is already finished rebuilding her mech will now properly send her into parry stun.
Elliana,1.4.13,Dspecial explosion hitpause scaling: 1 > 0 (Explosion time is now consistent at all percents).
Elliana,1.4.14,Fstrong endlag increased from 18 > 20 (27 > 30 on whiff).
Elliana,1.4.14,Air acceleration while charging strong attacks reduced from x1.0 > x0.5.
Elliana,1.4.14,Dspecial mine now makes a sound when hit out of the air.
Elliana,1.4.17,Down Special will now auto-arm when stuck to a Ranno that’s in the dizzy animation after his Forward Special is parried.
Elliana,1.4.17,"Every 60 frames of travel, uncharged Forward Special’s missile will gain 1% damage up to a max of 5%."
Elliana,1.4.17,Falling Down Special mine can no longer be hit by another Elliana’s mine.
Elliana,1.4.18,Steam hitboxes can no longer hit an aerial mine.
Elliana,1.4.18,Mine now has a sound effect when it's destroyed by Clairen's plasma field.
Elliana,1.4.19,Hurtbox removed from her hat's wings during all grounded attacks
Elliana,1.4.19,Hurtbox removed from the missile during the startup of Fspecial
Elliana,1.4.21,Fair hits 1 and 2 no longer force flinch.
Elliana,1.4.21,Fair hits 1 and 2 damage increased from 2 > 3.
Elliana,1.4.21,Dair hits 1 and 2 damage increased from 2 > 3.
Elliana,1.4.21,Dspecial will now correctly fall off of Forsburn’s clone when using Uspecial.
Elliana,1.4.24,Nspecial’s fist no longer detects collision with the ground/platforms on the first frame it is created. This allows it to hit a mine placed on the ground when fired from directly above.
Elliana,1.4.24,Nspecial’s fist can no longer pass through platforms.
Elliana,2.0.0,Grounded mine hitbox when activated by missile shifted upwards by 26 pixels. This prevents a mine sitting on a standard height platform from hitting players standing below it when activated.
Elliana,2.0.7.0,"Can now hover with the shorthop button. Only hovers for a short time, since holding down the shorthop button does nothin)."
Elliana,2.0.7.0,Ground friction: 1.0 > 0.65 (to buff her running parry).
Elliana,2.0.7.0,Utilting a rock while it’s being thrown by another attack will no longer crash the game.
Elliana,2.0.7.0,Uspecial’s invincibility starts immediately when she ejects from the mech (1 frame earlier than before).
Elliana,2.0.7.0,"Getting hit on frame 1 of landing after Uspecial will now properly restore her in-mech stats (weight, walljump speed, and hurtbox size)."
Elliana,2.0.8.0,Fspecial’s missiles can now be seen offscreen.
Elliana,2.0.8.0,Utilt’s recovery time scales from 10 frames to 20 frames based on how much heat is used.
Elliana,2.0.8.0,"Nair’s sourspot and Fair have swapped angles and knockback values, detailed below:"
Elliana,2.0.8.0,Fair Angle: 361 -> 60.
Elliana,2.0.8.0,Fair KB: 5+0.45 -> 6+0.4.
Elliana,2.0.8.0,Fair’s hitboxes have been widened by 20 pixels and moved inwards by 5.
Elliana,2.0.8.0,Nair sourspot Angle: 60 -> 361.
Elliana,2.0.8.0,Nair sourspot KB: 6+0.4 -> 5+0.45.
Elliana,2.0.8.0,Nspecial early hit KB: 7+0.3 -> 8+0.
Elliana,2.0.8.1,Fspecial Missiles now despawn if they're so far away from the stage that they can't get back within the blastzones in time.
Elliana,2.0.8.1,Fspecial's big missiles no longer have an offscreen indicator.
Etalus,0.13.1,Opponents who are frozen now have super armor instead of invincibility. This gives Etalus a chance to rack up more damage at low percents and gives him reason to trigger freezes at those percents.
Etalus,0.13.1,"The tech input has been extended from 30 frames into the frozen state up to 60 frames into the frozen state. Instead of lining up with the shine, players can no longer input a direction once there are cracks in the ice. "
Etalus,0.13.1,Etalus Dash Attack hitbox has been tweaked slightly and moved 5 pixels to match the visual more closely while still remaining inversely disjointed.
Etalus,0.13.1,Parrying Etalus’ Neutral Special now prevents him from getting armor.
Etalus,0.13.1,Bug Fix: Etalus can no longer use his Double Jump and Up Special to fly like an eagle. This isn’t Space Jam. Or is it?
Etalus,0.13.1,"Bug Fix: Etalus no longer gets marked while armored. However, he can still be wrapped while armored."
Etalus,0.13.1,Bug Fix: Bubbles no longer knock back Etalus while he has ice armor.
Etalus,0.13.1,Bug Fix: You can now use the Strong Button to hold Etalus’ shield during Forward Air.
Etalus,0.13.1,Bug Fix: Etalus no longer turns into Kragg in Dev Mode.
Etalus,0.14.0,"Whiff landing lag added to Fair, Bair, and Dair."
Etalus,0.14.0,Weak hitbox added in the middle of Dstrong. Etalus can be punished for hitting with this hitbox.
Etalus,0.14.0,"Bair hitbox width 100 > 120 (reaches the same distance backward, but extends further forward)."
Etalus,0.14.0,"Uair separated into two separate hits. This prevents Uair from trading so favorably with other moves. On a clean hit, the move functions identically to before."
Etalus,0.14.0,Uair has a 45 frame cooldown on hit. This is to prevent linking up to 4 Uairs on an opponent frozen on a platform.
Etalus,0.14.0,Dstrong strong hit base knockback 7 > 6.
Etalus,0.14.0,"Dstrong damage weak hit 4 > 6, strong hit 11 > 12."
Etalus,0.14.0,"Ustrong damage weak hit 2 > 3, strong hit 11 > 12."
Etalus,0.14.0,Ustrong weak hit hitstun modifier 1 > 1.2.
Etalus,0.14.0,Rolling opponents are no longer invincible when frozen.
Etalus,0.14.0,Ice will not start melting if any Etalus is using Nspecial.
Etalus,0.14.0,Can act slightly earlier out of Uspecial (min actionable speed -3 > -8).
Etalus,0.14.0,Fstrong Ice Hitbox reduced from 120x120 to 100x80.
Etalus,0.14.0,Dstrong Ice Hitbox reduced from 120x120 to 100x100.
Etalus,0.14.0,Ustrong Ice Hitbox reduced from 120x120 to 100x100.
Etalus,0.14.0,Parrying Fspecial now destroys the icicles instead of reflecting them
Etalus,0.14.1,Bug Fix: Nspecial now destroys ice the same range in both directions instead of having longer range to the right
Etalus,0.14.1,Bug Fix: Ftilt and Fspecial will no longer destroy each other's ice if created on the same frame
Etalus,0.14.1,"Dstrong Hitbox 1 Priority: 1 > 2, Hitbox 2 Priority: 3 > 8, Hitbox 3 Priority: 2 > 7"
Etalus,0.14.1,Armoured Ustrong Hitstun Multiplier: 1 > 1.2
Etalus,0.14.1,Dash attack hitbox size increased and position slightly adjusted
Etalus,0.15.0,"All of Etalus' aerials autocancel on the last 5 frames of the attack except for the following: 
Etalus Fair (punch): 12 frames of landing lag"
Etalus,0.15.0,Landing lag: 7 > 6
Etalus,0.15.0,Dash/Run speed on ice 5 > 5.5
Etalus,0.15.0,Roll and Air Dodge startup frames 2 > 3 (startup now matches all other characters)
Etalus,0.15.0,Jab third hit size reduced to match animation better. Sourspot added on the top
Etalus,0.15.0,Dtilt second hitbox moved slightly inward to match animation better
Etalus,0.15.0,Fair recovery frames 15 > 18 (only applies to the punch)
Etalus,0.15.0,Bair now sends opponents forward if they are in front of Etalus
Etalus,0.15.0,Ustrong startup (pre-charge) 8 > 10
Etalus,0.15.0,Ustrong recovery 15 > 23
Etalus,0.15.0,Ustrong weak hit hitstun modifier 1.2 > 0.8 (doesn't force enemy to tech if they avoid the strong hit)
Etalus,0.15.0,Uspecial now goes the maximum distance regardless of charge when Etalus has ice armor. Using Uspecial now gets rid of ice armor
Etalus,0.15.0,Dspecial pre-fall frames 20 > 24
Etalus,0.15.0,Dspecial fall speed 15 > 22
Etalus,0.15.0,Ice armor can be broken by projectiles with more than 0 knockback scaling (all except Wrastor Fspecial and Maypul Nspecial)
Etalus,0.15.0,Opponents can parry to prevent themselves from being frozen when standing on ice
Etalus,0.15.0,Maypul Nspecial will now mark Etalus when he's armored
Etalus,0.15.2,Jab 1 startup increased from 5 to 6 frames.
Etalus,0.15.2,Hitbox added to Etalus Dspecial when rising. All other Dspecial hitboxes moved 6px backward to be more centered.
Etalus,0.15.2,"For Etalus strong attacks, armor is now lost on the exact frame when the ice shards are created."
Etalus,0.15.2,Fair Landing Lag decreased from 12 to 10.
Etalus,0.15.2,Etalus dash attack base hitpause 7 > 5 to make jump cancelling it more consistent.
Etalus,0.15.2,Nair base knockback now gradually decreases during its active frames. (4 > 1)
Etalus,0.15.4,Extended parry stun changed to be less punishing at short/medium ranges but it remains the same at long ranges. (Etalus forward-special)                                                                                            
Etalus,0.15.4,Etalus Neutral Air minimum base knockback 1 > 2 This makes it so he won't be punished for landing late Nair.
Etalus,0.15.5,Hit Cancelling mechanic added. Specific values can be found here: http://i.imgur.com/hb1OVAA.png
Etalus,0.15.5,"Extended parry stun increased by 10 frames if your attack had ended before your projectile was parried. (relevant to moves like Kragg Dspecial, Etalus Fspecial, etc)"
Etalus,0.15.5,Etalus can now airdodge out of Uspecial while it's charging
Etalus,0.15.5,Etalus armor blocks projectiles that deal less than 8 damage. Same projectiles that are countered by crouch cancelling. (Temp solution until we change armor. SOON™)
Etalus,0.15.7,Ice Armor has been reworked. It is now more beneficial to Etalus at higher percents and worth the risk to obtain.
Etalus,0.15.7,Ice Armor now increases Etalus’ gravity and only applies super armor during strong attacks and up special. This super armor during strong attacks can take more than one hit now.
Etalus,0.15.7,Ice Armor Gravity increased from .55 to .65.
Etalus,0.15.7,Ice Armor Hitstun Gravity increased from .5 to .6.
Etalus,0.15.7,Uspecial consumes Ice armor and gives armor during the duration similar to his strong attacks.
Etalus,0.15.7,Ice Armor breaks after 50 damage is taken.
Etalus,0.15.7,Etalus always has normal friction when in Prat Land. Even if he is standing on ice. This makes edge cancelling after being parried more difficult but still possible.
Etalus,0.15.7,Added an extra hitbox to Up Tilt to better match the visual of his swipe. Has the same properties as the main hitbox.
Etalus,0.15.8,Having Super Armor now applies a feint white outline to characters. You can see this on Kragg Forward Special and Etalus Ice Armor on Strongs and Up Special.
Etalus,0.15.8,Etalus armored strong attack super armor now only starts after releasing the charge. This gives armored strongs counter play while still allowing Etalus players to make use of the armor with good timing.
Etalus,0.15.8,Etalus airdodge out of Uspecial window pushed back by 2 frames (Prevents accidental buffered special attacks after wavelanding out of Uspecial).
Etalus,0.15.9,Etalus Armor Strongs – Armor now comes out on frame 7 (11 > 7) on Up Strong and Forward Strong and frame 9 on Down Strong.
Etalus,0.15.9,Jump Squat reduced from 6 > 5 frames (now the same as every other character)
Etalus,0.15.9,Down Air final hit base knockback 4 > 6
Etalus,0.15.9,Down Air final hit knockback scaling .6 > .5
Etalus,0.15.9,"Down Air Damage increased from 2,2,8 > 4,4,8"
Etalus,0.15.9,Etalus can now hold down to prevent Down Air from stalling his momentum
Etalus,0.15.9,Forward Strong hit 1 hitstun modifier 1.0 > 0.5 (only matters if hit 2 doesn’t hit). Allows players to escape if the attack does not connect.
Etalus,0.15.9,Down tilt second hit angle changed from 65 > 75
Etalus,0.15.9,Down Tilt hitbox heights increased from 20 > 30 and 30 > 40.
Etalus,0.15.9,Etalus now loses armor as intended when his Forward Special gets parried
Etalus,0.15.10,Etalus can now air dodge out of Up Special while traveling up as well.
Etalus,1.0.2,Ice is no longer dumb on horizontal moving platforms.
Etalus,1.0.3,Etalus can no longer pull frozen enemies through moving platforms
Etalus,1.0.3,Etalus Freeze can no longer cause an invincibility bug on the Aether version of Air Armada
Etalus,1.0.3,Players are no longer able to be frozen when standing on ice after a successful parry of hit 1 of Etalus’ Dspecial
Etalus,1.1.2,"Ice armor is now easier to break, damage needed decreased from 50% > 40%"
Etalus,1.1.2,Fstrong (both with ice armor and without) can no longer reverse
Etalus,1.1.2,Uair now functions correctly when hitting multiple enemies
Etalus,1.2.0,Removed angle flippers on Etalus ice shards.
Etalus,1.2.0,"Kragg’s rock is no longer destroyed by Etalus uair, Wrastor Dair hit 1, or Forsburn cape. These moves now interact with the rock by moving it instead of outright breaking it."
Etalus,1.2.3,Armored strong attacks now have the same size hitboxes Etalus’ normal strong attacks.
Etalus,1.2.4,"Etalus Dash Attack can no longer destroy projectiles 
This attack was designed to be inversely disjointed and lose to projectiles. However in scenarios where Etalus and the projectile are moving at the right speeds, dash attack could break projectiles."
Etalus,1.2.5,Etalus Fair armor should no longer halt him when hit by two attacks in quick succession.
Etalus,1.2.6,Grabbing a rock with Etalus’ Uair will now move the rock toward the second hitbox just like it does with players.
Etalus,1.2.6,Etalus can no longer walljump or fastfall after being wrapped while having super armor.
Etalus,1.3.0,"Ice shards now only shoot out in the direction of the strong attack instead of every direction. The number of shards is unchanged, however, so the wave of icicles is more dense."
Etalus,1.3.0,Dspecial landing hitbox now comes out on the first frame of landing instead of the third.
Etalus,1.3.0,Grabbing a rock with Uair will now move the rock toward the second hitbox just like it does with players.
Etalus,1.3.0,Can no longer walljump or fastfall while wrapped with super armor.
Etalus,1.3.2,Ustrong shard damage decreased from 6 > 3 (to match Fstrong and Dstrong shards).
Etalus,1.3.5,Armored Up Strong final hitbox position changed to match non-armored Up Strong.
Etalus,1.4.0,Forward Special hitbox size increased to make hitting with and parrying this move more consistent.
Etalus,1.4.0,Neutral Special now gains armor 1 frame earlier so that trading with the move doesn’t stop it from getting armor.
Etalus,1.4.0,Down Special is now walljump-cancellable when done near a wall.
Etalus,1.4.0,Enemies can no longer be frozen during the respawn state (fixes a bug that turned enemies invisible).
Etalus,1.4.0,Nair - Landing Lag on whiff increased from 6 to 8
Etalus,1.4.0,Fair Armour - Landing Lag on whiff increased from 5* to 8
Etalus,1.4.0,Uair - Landing Lag on whiff increased from 6 to 8
Etalus,1.4.0,Dair - Landing Lag on whiff increased from 6 to 8
Etalus,1.4.2,Up Special will no longer lose armor when getting hit on frame 1 by a move that sends into the hitstun land state.
Etalus,1.4.2,Up Air hit 1 hit lockout increased from 0 > 1. This prevents moves like Forward Special from interrupting the throw.
Etalus,1.4.2,Nair sourspot angle flipper changed from 0 > 6. Now matches the flipper of the sweetspot.
Etalus,1.4.2,Etalus’ roll framedata normalized to [3 – 14 – 12] from [3 – 15 – 12].
Etalus,1.4.3,Can no longer hit himself when throwing a rock with Uair.
Etalus,1.4.3,Can no longer fastfall while being hit during armored Uspecial.
Etalus,1.4.3,"No longers gets the benefits of being on ice when standing under low, ice-covered platforms."
Etalus,1.4.4,"Bug Fix: Rocks thrown by Uair 1 can no longer land before Uair 2 comes out (caused Etalus to hit himself with the rock under certain spacing circumstances, since the rock becomes Kragg's rock again upon landing)"
Etalus,1.4.5,Up Air SDI modifier decreased from 1.0 > 0.0.
Etalus,1.4.5,Bug Fix: Down Air SFX corrected.
Etalus,1.4.6 - Hotfix,Platforms with landing animations now have correct collision detection (noticeable by doing grounded Etalus Dspecial onto the side platforms vs the middle platform of Forest Floor) 
Etalus,1.4.7,Etalus’ Down Special will no longer create the purple kill effect when freezing an opponent.
Etalus,1.4.9,Jab 3 damage: 6 > 8.
Etalus,1.4.9,Fair armor will no longer have whiff landing lag after armoring through an attack.
Etalus,1.4.9,"Armored strong attacks only gain super armor if half-charged or more. At less than half charge, they gain weak armor that gets stronger as it charges (starts at 10, ends at 25. Fair armor is 12 for reference)."
Etalus,1.4.9,"Armored Fstrong startup changed (6 pre-charge + 12 post-charge > 8 pre-charge + 9 post-charge). Makes the super armor come out later, since the armor doesn’t start until post-charge."
Etalus,1.4.9,"Armored Ustrong startup changed (6 pre-charge + 12 post-charge > 8 pre-charge + 10 post-charge). Makes the super armor come out later, since the armor doesn’t start until post-charge."
Etalus,1.4.9,"Armored Dstrong startup changed (6 pre-charge + 8 post-charge > 8 pre-charge + 6 post-charge). Makes the super armor come out later, since the armor doesn’t start until post-charge."
Etalus,1.4.9,Armored Fstrong damage: 2 + 16 > 4 + 14.
Etalus,1.4.9,Armored Dstrong final hit damage: 12 > 16.
Etalus,1.4.9,Armored Dstrong sourspot is no longer techable (matches non-armored version).
Etalus,1.4.9,Dspecial walljump is now possible with tap jump.
Etalus,1.4.9,Grounded Dspecial startup: 5 > 13.
Etalus,1.4.9,Window between rising hit and falling hit: 24 > 16 (does not apply when Dspecial is used in the air).
Etalus,1.4.9,Dspecial rising hit base knockback: 10 > 8.
Etalus,1.4.9,Dspecial rising hit hitstun modifier now scales from x1 to x2 over the span of the active frames.
Etalus,1.4.9,Dspecial rising hit can no longer be crouch canceled.
Etalus,1.4.9,Dspecial falling hit height: 70 > 80 (reaches further upward).
Etalus,1.4.9,"Parrying Dspecial’s shockwave is now treated as parrying a projectile, meaning you can cancel the endlag of the parry."
Etalus,1.4.11,"When cancelling the first 4 frames of double jump into Up Special, Etalus’ vertical speed is now set to 0 instantly. This prevents Etalus from using the double jump forgiveness mechanic to gain a large amount of height while recovering."
Etalus,1.4.13,Uair hit 1 can no longer cause the purple kill effect.
Etalus,1.4.13,Uspecial can now be cancelled with a walljump at the same time it can be cancelled into a double jump (allows Etalus to buffer a walljump without wasting his double jump).
Etalus,1.4.13,Fspecial that hits an existing patch of ice after Dspecial’s shockwave is triggered will no longer prevent the ice from exploding.
Etalus,1.4.17,Jab startup decreased from 6 frames > 5 frames
Etalus,1.4.17,"Down Tilt knockback adjusted from 2 + .3 at angle 361 > 4 + 0 at angle 55. This makes Down Tilt 1 > 2 connect more consistently. Previously, the low angle allowed opponents to tech between the hits and the scaling made it stop connecting at higher percents."
Etalus,1.4.17,Armored Up Strong BKB decreased from 8 > 7 (matches non-armored Up Strong).
Etalus,1.4.17,Non-armored Down Strong BKB increased from 6 > 7 (matches armored Down Strong).
Etalus,1.4.17,Down Special’s shockwave can no longer freeze invincible opponents.
Etalus,1.4.17 - Hotfix,Down Special can no longer slide off of ledges.
Etalus,1.4.17 - Hotfix,Down Special no longer fails to create the landing hitbox if it hits an opponent one frame before landing.
Etalus,1.4.17 - Hotfix,Down Special falling hitbox now has 5 frames of extra hitpause for the opponent. This allows Etalus to still freeze opponents when he hits them 1 frame before landing.
Etalus,1.4.17 - Hotfix,Reverted change that gave Down Special falling hitbox 5 frames of extra hitpause. Removed from patch notes.								
Etalus,1.4.20,Ice on the ground can no longer freeze opponents when they are invincible due to their hurtbox being nonexistant (e.g. Clairen’s Dspecial).
Etalus,1.4.21,Fspecial’s cooldown can no longer be avoided if the move is interrupted.
Etalus,1.4.22,Jab animation updated.
Etalus,1.4.22,Tilt boost window expanded by 1 frame.
Etalus,1.4.22,Fstrong hit 1 SDI multiplier decreased from x1 > x0.
Etalus,1.4.22,Hitting a player with Uair restores your Uspecial.
Etalus,1.4.22,Getting hit during Fspecial will destroy all of your icicles (15 frame window after icicles are created).
Etalus,1.4.22,The lifespan of strong attack shards now increases by a smaller amount with full charge: +10 frames > +4 frames. This prevents the shards from interfering with Etalus’ own attacks
Etalus,1.4.24,Fspecial icicles now have a landing hitbox that lasts 1 frame. Fixes issues like these: https://twitter.com/FullStream/status/1260698853273149440
Etalus,1.4.25,Bug Fix: Attacks that deal no knockback will no longer destroy Fspecial’s icicles if Fspecial is interrupted.
Etalus,2.0.7.0,Can no longer cancel the hitpause of Uspecial with an airdodge.
Etalus,2.0.7.0,Broken Fspecial projectiles will no longer create a hitbox when landing.
Etalus,2.0.8.0,Fstrong’s second hitbox has been extended inwards on both his armored and unarmored versions.
Forsburn,0.0.4,Dash Attack Damage reduced from 11-9
Forsburn,0.0.4,Dash Attack Knockback Scaling increased from .3 to .4.
Forsburn,0.0.4,Fixed a bug where Forsburn could not perform the second hit of his Forward Strong with the attack button when facing left.
Forsburn,0.0.4,Fixed a bug where a clone on fire was causing Forsburn burn damage.
Forsburn,0.0.7,Reliable Capes: The Cape hits of Forsburn’s Up Strong and Forward Strong can no longer be teched and the base hitstun has been increased so opponents cannot air dodge out.
Forsburn,0.0.7,Up Strong Second Hit: Base Knockback decreased from 8 – 6. Knockback Scaling decreased from 1.1 to 1.0.
Forsburn,0.0.7,Forward Strong Second Hit: Base Knockback decreased from 8 – 7. Knockback Scaling decreased from 1.1 to 1.0.
Forsburn,0.0.7,Up Strong and Forward Strong: Startup increased from 12 -> 14. Recovery (End Lag) on Knife attack increased from 28 -> 32.
Forsburn,0.0.7,Down Special: Base Knockback decreased from 7 -> 4. Knockback Scaling increased from .75 -> .85.
Forsburn,0.0.7,Cape hitstun no longer scales with Strong Charge. This was causing issues with Cape getting opponents locked into hitstun after bouncing off a wall.
Forsburn,0.0.7,"Smoke Stalling: Forsburn can no longer Smoke Stall indefinitely. He can now teleport into two clouds before touching the ground. When attempting to teleport into the third, it will be destroyed as Forsburn reappears."
Forsburn,0.0.7,Clone Max: The clone can now perform 10 attacks before it bursts on its own.
Forsburn,0.0.7,Clone Deception: Getting a third smoke charge will burst your clone as you are giving up deception for your powerful combustion technique.
Forsburn,0.0.7,Teleport Control: Forsburn teleport now takes your input when you disappear instead of right before you re-appear.
Forsburn,0.0.8,Slightly Less Reliable Cape: The Cape Hit of Forward strong is still untechable but we are reinstating the scaling Hitstun. It scales from .5 normal to 1.5 normal depending on charge time. Half charge should be enough to guarantee the Dagger with good spacing.
Forsburn,0.0.8,Up Strong now also scales from 1.0 hitstun to 2.0. Fully charging the Cape should improve follow ups after the bounce. If they DI away then follow up with a back air.
Forsburn,0.0.8,Both Forward Strong and Up Strong have had their Startup Reduced from 14 to 12.
Forsburn,0.0.8,Forward Air Recovery increased from 6 > 8 Frames.
Forsburn,0.0.8,Up Air Knockback Scaling increased from .25 > .3.
Forsburn,0.0.8,Forsburn’s Initial Dash Time increased from 10 > 16 to improve his Dash Dance.
Forsburn,0.0.8,"Combust Power Comeback: Combust Scaling was powerful because of its vertical KO power. Now that we have adjusted vertical scaling, Combust’s scaling has been increased from .85 > 1.0. This improves the horizontal knockback for the attack as well."
Forsburn,0.0.8,Bug Fix: Forsburn can no longer Down Special immediately after Neutral Special causing no clouds to spawn.
Forsburn,0.0.10,Dash Attack recovery remains at 16. Whiff Recovery of 24 Added.
Forsburn,0.0.10,Forsburn no longer regains his double jump when Teleporting into a Smoke Cloud. He does however still retain his double jump if he has it.
Forsburn,0.0.10,Smokey Illusion (Side Special) no longer creates hitboxes when it attacks.  The Forsburn player can press Forward Special again to make the illusion stand still. This special is now purely for deception instead of being a camping / combo tool.
Forsburn,0.0.10,Smokey Illusion Recovery reduced from 8 > 4. Cooldown removed after clone is destroyed.
Forsburn,0.0.10,Down Air first hitbox now always knocks forward.
Forsburn,0.0.10,Forsburn’s Aerials have been adjusted to reduce his damage and increase his scaling so his combos are not as damaging and repetitive across all percents.
Forsburn,0.0.10,Neutral Air. Hit 1 and Hit 2: Damage 3 Scaling 0 > Damage 2 Scaling .15. Hit 3 Scaling .4 > Scaling .5.
Forsburn,0.0.10,Forward Air. Damage 8 Scaling .3 > Damage 6 Scaling .5.
Forsburn,0.0.10,Up Air. Damage 8 > Damage 6.
Forsburn,0.0.10,Back Air. Hit 1: Damage 12 > Damage 11.
Forsburn,0.0.10,Down Air. Hit 1: Damage 12 > Damage 10.
Forsburn,0.0.10,Neutral Air Hit 1 and Hit 2 now deal .2x normal hitstun instead of 1x.
Forsburn,0.0.10,Forsburn Parry changed to have a standard Parry Hurtbox / Startup / Recovery.
Forsburn,0.0.10,Down Air Aerial Recovery Increased from 12 > 18.
Forsburn,0.0.10,Back Air Aerial Recovery Increased from 15 > 18.
Forsburn,0.0.10,Back Air Auto Cancel Frame increased from 9 > 26. Landing Lag remains at 9 frames.
Forsburn,0.0.10,Forsburn’s Teleport distance through ground has been adjusted. Now he has a maximum height that he can be raised after reappearing into ground before he is pushed back out horizontally.
Forsburn,0.0.11,Forsburn’s clone no longer counts as a hit for whiff / cancel reasons.
Forsburn,0.0.11,Nair Hit 1 and Hit 2 hitstun increased from .15x to .3x. It now true combos from hit 1 > hit 3 but still has low enough hitstun to not true combo into Dstrong after being autocancelled.
Forsburn,0.0.12,Forsburn’s clone creates active hitboxes again.
Forsburn,0.0.12,Forsburn’s clone attacks on a timer of 90 frames after each attack has ended. The clone no longer responds to special inputs. This is to prevent players from running away and mashing special to get their clone to attack. 
Forsburn,0.0.12,Forsburn’s clone now counts as a hit again for whiff / cancel reasons.
Forsburn,0.0.12,Forward Special Startup increased from 6 > 12 frames.
Forsburn,0.0.12,Forward Special Recovery increased from 4 > 8 frames.
Forsburn,0.0.12,Up Special Startup increased from 15 > 18 frames. This is to give aggressive edgeguarders more of a chance to interrupt Forsburn before he can teleport.
Forsburn,0.0.12,Down Air hits 1 and 2 have had their hitbox sizes reduced. Down Air is becoming too much of an all-purpose aerial so we wanted to strip back the hitboxes a touch.
Forsburn,0.0.12,Up Special Hitstun Scaling reduced from 1.0 > .85. This is to punish players less for missing an edgeguard against Forsburn while still preventing Forsburn from being punished even when he lands his Up Special.
Forsburn,0.12.2,Attacks that cause the Flinch state (such as Jab 1) will once again destroy the clone.
Forsburn,0.13.0,The Clone no longer attacks on its own. Instead Forsburn must trigger Forward Special again to combust the clone causing a hitbox that knocks away from the explosion. Forsburn must be able to attack to trigger his clone to combust.
Forsburn,0.13.0,The Clone now goes away after using Up Special for recovery.
Forsburn,0.13.0,Clone Cooldown now set to 2 seconds in all ways that it can be destroyed.
Forsburn,0.13.0,The Clone attack can be parried and will be Forsburn into extended parry lag.
